word,start,end
i'm,0.49999999999999867,0.94
sitting,0.94,1.1
here,1.1,1.34
now,1.34,1.66
scott,1.88,2.0
i,2.16,2.2
bet,2.2,2.34
you,2.34,2.56
all,2.56,2.64
monday,2.64,2.88
night's,2.88,3.4
game,3.4,3.64
tonight,3.64,4.08
nine,4.4,4.5
o,4.5,4.8
clock,4.8,4.86
like,5.06,5.14
a,5.14,5.32
lot,5.32,5.4
of,5.4,5.42
sudden,5.42,5.8
so,5.8,6.08
it,6.08,6.22
went,6.22,6.66
you,7.76,7.76
know,7.76,7.76
when,7.94,7.94
don't,7.94,8.78
exchange,8.78,9.22
any,9.22,9.56
money,9.56,9.8
or,9.8,10.02
having,10.02,10.28
money,10.28,10.62
figures,10.62,10.96
planned,10.96,11.32
out,11.32,11.6
just,11.82,12.06
you,12.06,12.12
know,12.12,12.42
oh,12.68,12.86
well,12.9,13.12
that's,13.18,13.44
your,13.44,13.58
team,13.58,13.82
that's,14.02,14.18
my,14.18,14.28
team,14.28,14.56
let's,14.78,14.82
go,14.82,15.08
at,15.08,15.3
it,15.3,15.5
yeah,16.42,16.42
and,17.06,17.28
it,17.28,17.36
makes,17.36,17.54
it,17.54,18.06
you,18.06,18.08
know,18.08,18.26
fun,18.34,18.6
so,18.74,18.84
you,18.84,18.92
can,18.92,19.24
actually,19.24,19.56
see,19.56,20.04
what,20.04,21.0
you,21.0,21.08
know,21.08,21.28
you're,21.46,22.02
studying,22.02,22.28
these,22.28,22.64
teams,22.64,23.02
does,23.02,23.68
you,23.8,23.8
know,23.8,24.02
you,24.92,25.06
can,25.06,25.24
go,25.24,25.44
a,25.44,25.52
whole,25.52,25.72
season,25.72,26.3
you,26.46,26.56
know,26.56,26.84
17,26.9,27.22
18,27.36,27.7
and,27.7,28.0
out,28.0,28.32
and,28.32,29.06
nobody's,29.06,30.28
pretty,30.28,30.46
much,30.46,30.7
coming,30.7,30.98
close,30.98,31.3
to,31.3,31.5
your,31.5,31.78
standard,31.78,32.14
and,34.32,34.46
when,34.46,34.58
you,34.58,34.66
win,34.66,34.82
all,34.82,34.98
that,34.98,35.12
money,35.12,35.36
it's,35.56,35.68
just,35.68,35.94
like,35.94,36.16
yeah,36.38,36.44
when,36.54,36.6
you,36.6,36.84
lose,36.84,37.0
all,37.0,37.12
that,37.12,37.2
money,37.2,37.44
it's,38.300000000000004,38.78
like,38.78,39.16
that's,39.32,39.68
it,39.68,40.16
i'm,40.18,40.32
going,40.32,40.52
home,40.52,40.92
but,43.46,43.8
i've,43.8,44.52
known,44.52,44.72
people,44.72,45.1
gamble,45.1,45.74
you,46.04,46.04
know,46.04,46.6
compulsively,46.86,47.3
i,48.3,48.38
mean,48.38,48.48
it's,48.58,48.72
like,48.72,49.02
a,49.02,49.34
gambler's,49.34,50.14
anonymous,50.14,50.46
level,50.46,52.3
and,53.38,53.56
i,53.56,53.56
couldn't,53.56,53.92
really,53.92,54.16
get,54.16,54.54
into,54.54,54.78
that,54.78,55.24
number,55.24,55.66
one,55.66,55.86
i'm,55.94,55.98
not,55.98,56.14
the,56.14,56.24
richest,56.24,56.5
person,56.5,56.88
in,56.88,57.0
the,57.0,57.14
world,57.14,57.36
and,57.36,57.64
number,57.64,57.88
two,57.88,58.42
just,59.54,59.54
little,59.54,60.22
money,60.22,60.48
hears,60.48,60.8
one,60.8,61.14
thing,61.14,61.44
but,61.9,61.9
when,61.9,62.06
you're,62.06,62.5
out,62.5,62.54
there,62.54,62.74
spending,62.74,63.16
your,63.16,64.66
car,64.66,64.84
insurance,64.84,65.3
money,65.3,65.66
on,65.66,65.94
it,65.94,66.18
or,66.18,67.92
rent,67.92,68.16
money,68.16,68.5
then,68.74,69.08
you,69.08,69.18
got,69.18,69.36
a,69.36,69.56
real,69.56,69.72
problem,69.72,70.16
there,70.16,70.7
i've,71.2,71.48
seen,71.48,71.54
guys,71.54,71.86
do,71.86,72.04
that,72.04,72.32
too,73.24,73.24
get,73.94,74.0
down,74.0,74.28
the,74.28,74.38
side,74.38,74.52
of,74.52,74.72
the,74.72,74.86
downs,74.86,75.04
and,75.04,75.32
bet,75.32,76.04
the,76.04,76.3
farm,76.3,76.68
on,76.68,77.34
